8225	█‡█ █ ‡ █ ─‡─ 
8230	█…█ █ … █ ─…─ 
8254	█‾█ █ ‾ █ ─‾─ 
8259	█⁃█ █ ⁃ █ ─⁃─ 
8260	█⁄█ █ ⁄ █ ─⁄─ 
8286	█⁞█ █ ⁞ █ ─⁞─ 
8304	█⁰█ █ ⁰ █ ─⁰─ 
8315	█⁻█ █ ⁻ █ ─⁻─ 
8316	█⁼█ █ ⁼ █ ─⁼─ 
8317	█⁽█ █ ⁽ █ ─⁽─ 
8318	█⁾█ █ ⁾ █ ─⁾─ 
8320	█₀█ █ ₀ █ ─₀─ 
8330	█₊█ █ ₊ █ ─₊─ 
8331	█₋█ █ ₋ █ ─₋─ 
8332	█₌█ █ ₌ █ ─₌─ 
8333	█₍█ █ ₍ █ ─₍─ 
8334	█₎█ █ ₎ █ ─₎─ 
8338	█ₒ█ █ ₒ █ ─ₒ─ 
8339	█ₓ█ █ ₓ █ ─ₓ─ 
8369	█₱█ █ ₱ █ ─₱─ 
8376	█₸█ █ ₸ █ ─₸─ 
8413	█⃝█ █ ⃝ █ ─⃝─ 
8432	█⃰█ █ ⃰ █ ─⃰─ 
8470	█№█ █ № █ ─№─ 
8592	█←█ █ ← █ ─←─ 
8593	█↑█ █ ↑ █ ─↑─ 
8594	█→█ █ → █ ─→─ 
8595	█↓█ █ ↓ █ ─↓─ 
8596	█↔█ █ ↔ █ ─↔─ 
8597	█↕█ █ ↕ █ ─↕─ 
8616	█↨█ █ ↨ █ ─↨─ 
8624	█↰█ █ ↰ █ ─↰─ 
8625	█↱█ █ ↱ █ ─↱─ 
8626	█↲█ █ ↲ █ ─↲─ 
8627	█↳█ █ ↳ █ ─↳─ 
8629	█↵█ █ ↵ █ ─↵─ 
8710	█∆█ █ ∆ █ ─∆─ 
8722	█−█ █ − █ ─−─ 
8725	█∕█ █ ∕ █ ─∕─ 
8729	█∙█ █ ∙ █ ─∙─ 
8734	█∞█ █ ∞ █ ─∞─ 
8735	█∟█ █ ∟ █ ─∟─ 
8745	█∩█ █ ∩ █ ─∩─ 
8800	█≠█ █ ≠ █ ─≠─ 
8801	█≡█ █ ≡ █ ─≡─ 
8804	█≤█ █ ≤ █ ─≤─ 
8805	█≥█ █ ≥ █ ─≥─ 
8900	█⋄█ █ ⋄ █ ─⋄─ 
8962	█⌂█ █ ⌂ █ ─⌂─ 
8976	█⌐█ █ ⌐ █ ─⌐─ 
8992	█⌠█ █ ⌠ █ ─⌠─ 
8993	█⌡█ █ ⌡ █ ─⌡─ 
9312	█①█ █ ① █ ─①─ 
9313	█②█ █ ② █ ─②─ 
9314	█③█ █ ③ █ ─③─ 
9315	█④█ █ ④ █ ─④─ 
9316	█⑤█ █ ⑤ █ ─⑤─ 
9317	█⑥█ █ ⑥ █ ─⑥─ 
9318	█⑦█ █ ⑦ █ ─⑦─ 
9319	█⑧█ █ ⑧ █ ─⑧─ 
9320	█⑨█ █ ⑨ █ ─⑨─ 
9321	█⑩█ █ ⑩ █ ─⑩─ 
9322	█⑪█ █ ⑪ █ ─⑪─ 
9323	█⑫█ █ ⑫ █ ─⑫─ 
9324	█⑬█ █ ⑬ █ ─⑬─ 
9325	█⑭█ █ ⑭ █ ─⑭─ 
9326	█⑮█ █ ⑮ █ ─⑮─ 
9327	█⑯█ █ ⑯ █ ─⑯─ 
9328	█⑰█ █ ⑰ █ ─⑰─ 
9329	█⑱█ █ ⑱ █ ─⑱─ 
9330	█⑲█ █ ⑲ █ ─⑲─ 
9331	█⑳█ █ ⑳ █ ─⑳─ 
9450	█⓪█ █ ⓪ █ ─⓪─ 
9451	█⓫█ █ ⓫ █ ─⓫─ 
9452	█⓬█ █ ⓬ █ ─⓬─ 
9453	█⓭█ █ ⓭ █ ─⓭─ 
9454	█⓮█ █ ⓮ █ ─⓮─ 
9455	█⓯█ █ ⓯ █ ─⓯─ 
9456	█⓰█ █ ⓰ █ ─⓰─ 
9457	█⓱█ █ ⓱ █ ─⓱─ 
9458	█⓲█ █ ⓲ █ ─⓲─ 
9459	█⓳█ █ ⓳ █ ─⓳─ 
9460	█⓴█ █ ⓴ █ ─⓴─ 
9471	█⓿█ █ ⓿ █ ─⓿─ 
9472	█─█ █ ─ █ ─── 
9473	█━█ █ ━ █ ─━─ 
9474	█│█ █ │ █ ─│─ 
9475	█┃█ █ ┃ █ ─┃─ 
9476	█┄█ █ ┄ █ ─┄─ 
9477	█┅█ █ ┅ █ ─┅─ 
9478	█┆█ █ ┆ █ ─┆─ 
9479	█┇█ █ ┇ █ ─┇─ 
9480	█┈█ █ ┈ █ ─┈─ 
9481	█┉█ █ ┉ █ ─┉─ 
9482	█┊█ █ ┊ █ ─┊─ 
9483	█┋█ █ ┋ █ ─┋─ 
9484	█┌█ █ ┌ █ ─┌─ 
9485	█┍█ █ ┍ █ ─┍─ 
9486	█┎█ █ ┎ █ ─┎─ 
9487	█┏█ █ ┏ █ ─┏─ 
9488	█┐█ █ ┐ █ ─┐─ 
9489	█┑█ █ ┑ █ ─┑─ 
9490	█┒█ █ ┒ █ ─┒─ 
9491	█┓█ █ ┓ █ ─┓─ 
9492	█└█ █ └ █ ─└─ 
9493	█┕█ █ ┕ █ ─┕─
9494	█┖█ █ ┖ █ ─┖─ 
9495	█┗█ █ ┗ █ ─┗─ 
9496	█┘█ █ ┘ █ ─┘─ 
9497	█┙█ █ ┙ █ ─┙─ 
9498	█┚█ █ ┚ █ ─┚─ 
9499	█┛█ █ ┛ █ ─┛─ 
9500	█├█ █ ├ █ ─├─ 
9501	█┝█ █ ┝ █ ─┝─ 
9502	█┞█ █ ┞ █ ─┞─ 
9503	█┟█ █ ┟ █ ─┟─ 
9504	█┠█ █ ┠ █ ─┠─ 
9505	█┡█ █ ┡ █ ─┡─ 
9506	█┢█ █ ┢ █ ─┢─ 
9507	█┣█ █ ┣ █ ─┣─ 
9508	█┤█ █ ┤ █ ─┤─ 
9509	█┥█ █ ┥ █ ─┥─ 
9510	█┦█ █ ┦ █ ─┦─ 
9511	█┧█ █ ┧ █ ─┧─ 
9512	█┨█ █ ┨ █ ─┨─ 
9513	█┩█ █ ┩ █ ─┩─ 
9514	█┪█ █ ┪ █ ─┪─ 
9515	█┫█ █ ┫ █ ─┫─ 
9516	█┬█ █ ┬ █ ─┬─ 
9517	█┭█ █ ┭ █ ─┭─ 
9518	█┮█ █ ┮ █ ─┮─ 
9519	█┯█ █ ┯ █ ─┯─ 
9520	█┰█ █ ┰ █ ─┰─ 
9521	█┱█ █ ┱ █ ─┱─ 
9522	█┲█ █ ┲ █ ─┲─ 
9523	█┳█ █ ┳ █ ─┳─ 
9524	█┴█ █ ┴ █ ─┴─ 
9525	█┵█ █ ┵ █ ─┵─ 
9526	█┶█ █ ┶ █ ─┶─ 
9527	█┷█ █ ┷ █ ─┷─ 
9528	█┸█ █ ┸ █ ─┸─ 
9529	█┹█ █ ┹ █ ─┹─ 
9530	█┺█ █ ┺ █ ─┺─ 
9531	█┻█ █ ┻ █ ─┻─ 
9532	█┼█ █ ┼ █ ─┼─ 
9533	█┽█ █ ┽ █ ─┽─ 
9534	█┾█ █ ┾ █ ─┾─ 
9535	█┿█ █ ┿ █ ─┿─ 
9536	█╀█ █ ╀ █ ─╀─ 
9537	█╁█ █ ╁ █ ─╁─ 
9538	█╂█ █ ╂ █ ─╂─ 
9539	█╃█ █ ╃ █ ─╃─ 
9540	█╄█ █ ╄ █ ─╄─ 
9541	█╅█ █ ╅ █ ─╅─ 
9542	█╆█ █ ╆ █ ─╆─ 
9543	█╇█ █ ╇ █ ─╇─ 
9544	█╈█ █ ╈ █ ─╈─ 
9545	█╉█ █ ╉ █ ─╉─ 
9546	█╊█ █ ╊ █ ─╊─ 
9547	█╋█ █ ╋ █ ─╋─ 
9548	█╌█ █ ╌ █ ─╌─ 
9549	█╍█ █ ╍ █ ─╍─ 
9550	█╎█ █ ╎ █ ─╎─ 
9551	█╏█ █ ╏ █ ─╏─ 
9552	█═█ █ ═ █ ─═─ 
9553	█║█ █ ║ █ ─║─ 
9554	█╒█ █ ╒ █ ─╒─ 
9555	█╓█ █ ╓ █ ─╓─ 
9556	█╔█ █ ╔ █ ─╔─ 
9557	█╕█ █ ╕ █ ─╕─ 
9558	█╖█ █ ╖ █ ─╖─ 
9559	█╗█ █ ╗ █ ─╗─ 
9560	█╘█ █ ╘ █ ─╘─ 
9561	█╙█ █ ╙ █ ─╙─ 
9562	█╚█ █ ╚ █ ─╚─ 
9563	█╛█ █ ╛ █ ─╛─ 
9564	█╜█ █ ╜ █ ─╜─ 
9565	█╝█ █ ╝ █ ─╝─ 
9566	█╞█ █ ╞ █ ─╞─ 
9567	█╟█ █ ╟ █ ─╟─ 
9568	█╠█ █ ╠ █ ─╠─ 
9569	█╡█ █ ╡ █ ─╡─ 
9570	█╢█ █ ╢ █ ─╢─ 
9571	█╣█ █ ╣ █ ─╣─ 
9572	█╤█ █ ╤ █ ─╤─ 
9573	█╥█ █ ╥ █ ─╥─ 
9574	█╦█ █ ╦ █ ─╦─ 
9575	█╧█ █ ╧ █ ─╧─ 
9576	█╨█ █ ╨ █ ─╨─ 
9577	█╩█ █ ╩ █ ─╩─ 
9578	█╪█ █ ╪ █ ─╪─ 
9579	█╫█ █ ╫ █ ─╫─ 
9580	█╬█ █ ╬ █ ─╬─ 
9581	█╭█ █ ╭ █ ─╭─ 
9582	█╮█ █ ╮ █ ─╮─ 
9583	█╯█ █ ╯ █ ─╯─ 
9584	█╰█ █ ╰ █ ─╰─ 
9585	█╱█ █ ╱ █ ─╱─ 
9586	█╲█ █ ╲ █ ─╲─ 
9587	█╳█ █ ╳ █ ─╳─ 
9588	█╴█ █ ╴ █ ─╴─ 
9589	█╵█ █ ╵ █ ─╵─ 
9590	█╶█ █ ╶ █ ─╶─ 
9591	█╷█ █ ╷ █ ─╷─ 
9592	█╸█ █ ╸ █ ─╸─ 
9593	█╹█ █ ╹ █ ─╹─ 
9594	█╺█ █ ╺ █ ─╺─ 
9595	█╻█ █ ╻ █ ─╻─ 
9596	█╼█ █ ╼ █ ─╼─ 
9597	█╽█ █ ╽ █ ─╽─ 
9598	█╾█ █ ╾ █ ─╾─ 
9599	█╿█ █ ╿ █ ─╿─ 
9600	█▀█ █ ▀ █ ─▀─ 
9604	█▄█ █ ▄ █ ─▄─ 
9608	███ █ █ █ ─█─ 
9612	█▌█ █ ▌ █ ─▌─ 
9616	█▐█ █ ▐ █ ─▐─ 
9617	█░█ █ ░ █ ─░─ 
9618	█▒█ █ ▒ █ ─▒─ 
9619	█▓█ █ ▓ █ ─▓─ 
9632	█■█ █ ■ █ ─■─ 
9633	█□█ █ □ █ ─□─ 
9642	█▪█ █ ▪ █ ─▪─ 
9643	█▫█ █ ▫ █ ─▫─ 
9644	█▬█ █ ▬ █ ─▬─ 
9650	█▲█ █ ▲ █ ─▲─ 
9652	█▴█ █ ▴ █ ─▴─ 
9656	█▸█ █ ▸ █ ─▸─ 
9658	█►█ █ ► █ ─►─ 
9660	█▼█ █ ▼ █ ─▼─ 
9662	█▾█ █ ▾ █ ─▾─ 
9666	█◂█ █ ◂ █ ─◂─ 
9668	█◄█ █ ◄ █ ─◄─ 
9674	█◊█ █ ◊ █ ─◊─ 
9675	█○█ █ ○ █ ─○─ 
9676	█◌█ █ ◌ █ ─◌─ 
9679	█●█ █ ● █ ─●─ 
9688	█◘█ █ ◘ █ ─◘─ 
9689	█◙█ █ ◙ █ ─◙─ 
9702	█◦█ █ ◦ █ ─◦─ 
9830	█♦█ █ ♦ █ ─♦─ 
10102	█❶█ █ ❶ █ ─❶─ 
10103	█❷█ █ ❷ █ ─❷─ 
10104	█❸█ █ ❸ █ ─❸─ 
10105	█❹█ █ ❹ █ ─❹─ 
10106	█❺█ █ ❺ █ ─❺─ 
10107	█❻█ █ ❻ █ ─❻─ 
