Unicode code point	name	character
U+258D	LEFT THREE EIGHTHS BLOCK	▍
U+258E	LEFT ONE QUARTER BLOCK	▎
U+258F	LEFT ONE EIGHTH BLOCK	▏
U+2590	RIGHT HALF BLOCK	▐
U+2591	LIGHT SHADE	░
U+2592	MEDIUM SHADE	▒
U+2593	DARK SHADE	▓
U+2594	UPPER ONE EIGHTH BLOCK	▔
U+2595	RIGHT ONE EIGHTH BLOCK	▕
U+2596	QUADRANT LOWER LEFT	▖
U+2597	QUADRANT LOWER RIGHT	▗
U+2598	QUADRANT UPPER LEFT	▘
U+2599	QUADRANT UPPER LEFT AND LOWER LEFT AND LOWER RIGHT	▙
U+259A	QUADRANT UPPER LEFT AND LOWER RIGHT	▚
U+259B	QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER LEFT	▛
U+259C	QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER RIGHT	▜
U+259D	QUADRANT UPPER RIGHT	▝
U+259E	QUADRANT UPPER RIGHT AND LOWER LEFT	▞
U+259F	QUADRANT UPPER RIGHT AND LOWER LEFT AND LOWER RIGHT	▟
U+25A0	BLACK SQUARE	■
U+25A1	WHITE SQUARE	□
U+25A2	WHITE SQUARE WITH ROUNDED CORNERS	▢
U+25A3	WHITE SQUARE CONTAINING BLACK SMALL SQUARE	▣
U+25A4	SQUARE WITH HORIZONTAL FILL	▤
U+25A5	SQUARE WITH VERTICAL FILL	▥
U+25A6	SQUARE WITH ORTHOGONAL CROSSHATCH FILL	▦
U+25A7	SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL	▧
U+25A8	SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL	▨
U+25A9	SQUARE WITH DIAGONAL CROSSHATCH FILL	▩
U+25AA	BLACK SMALL SQUARE	▪
U+25AB	WHITE SMALL SQUARE	▫
U+25AC	BLACK RECTANGLE	▬
U+25AD	WHITE RECTANGLE	▭
U+25AE	BLACK VERTICAL RECTANGLE	▮
U+25AF	WHITE VERTICAL RECTANGLE	▯
U+25B0	BLACK PARALLELOGRAM	▰
U+25B1	WHITE PARALLELOGRAM	▱
U+25B2	BLACK UP-POINTING TRIANGLE	▲
U+25B3	WHITE UP-POINTING TRIANGLE	△
U+25B4	BLACK UP-POINTING SMALL TRIANGLE	▴
U+25B5	WHITE UP-POINTING SMALL TRIANGLE	▵
U+25B6	BLACK RIGHT-POINTING TRIANGLE	▶
U+25B7	WHITE RIGHT-POINTING TRIANGLE	▷
U+25B8	BLACK RIGHT-POINTING SMALL TRIANGLE	▸
U+25B9	WHITE RIGHT-POINTING SMALL TRIANGLE	▹
U+25BA	BLACK RIGHT-POINTING POINTER	►
U+25BB	WHITE RIGHT-POINTING POINTER	▻
U+25BC	BLACK DOWN-POINTING TRIANGLE	▼
U+25BD	WHITE DOWN-POINTING TRIANGLE	▽
U+25BE	BLACK DOWN-POINTING SMALL TRIANGLE	▾
U+25BF	WHITE DOWN-POINTING SMALL TRIANGLE	▿
U+25C0	BLACK LEFT-POINTING TRIANGLE	◀
U+25C1	WHITE LEFT-POINTING TRIANGLE	◁
U+25C2	BLACK LEFT-POINTING SMALL TRIANGLE	◂
U+25C3	WHITE LEFT-POINTING SMALL TRIANGLE	◃
U+25C4	BLACK LEFT-POINTING POINTER	◄
U+25C5	WHITE LEFT-POINTING POINTER	◅
U+25C6	BLACK DIAMOND	◆
U+25C7	WHITE DIAMOND	◇
U+25C8	WHITE DIAMOND CONTAINING BLACK SMALL DIAMOND	◈
U+25C9	FISHEYE	◉
U+25CA	LOZENGE	◊
U+25CB	WHITE CIRCLE	○
U+25CC	DOTTED CIRCLE	◌
U+25CD	CIRCLE WITH VERTICAL FILL	◍
U+25CE	BULLSEYE	◎
U+25CF	BLACK CIRCLE	●
U+25D0	CIRCLE WITH LEFT HALF BLACK	◐
U+25D1	CIRCLE WITH RIGHT HALF BLACK	◑
U+25D2	CIRCLE WITH LOWER HALF BLACK	◒
U+25D3	CIRCLE WITH UPPER HALF BLACK	◓
U+25D4	CIRCLE WITH UPPER RIGHT QUADRANT BLACK	◔
U+25D5	CIRCLE WITH ALL BUT UPPER LEFT QUADRANT BLACK	◕
U+25D6	LEFT HALF BLACK CIRCLE	◖
U+25D7	RIGHT HALF BLACK CIRCLE	◗
U+25D8	INVERSE BULLET	◘
U+25D9	INVERSE WHITE CIRCLE	◙
U+25DA	UPPER HALF INVERSE WHITE CIRCLE	◚
U+25DB	LOWER HALF INVERSE WHITE CIRCLE	◛
U+25DC	UPPER LEFT QUADRANT CIRCULAR ARC	◜
U+25DD	UPPER RIGHT QUADRANT CIRCULAR ARC	◝
U+25DE	LOWER RIGHT QUADRANT CIRCULAR ARC	◞
U+25DF	LOWER LEFT QUADRANT CIRCULAR ARC	◟
U+25E0	UPPER HALF CIRCLE	◠
U+25E1	LOWER HALF CIRCLE	◡
U+25E2	BLACK LOWER RIGHT TRIANGLE	◢
U+25E3	BLACK LOWER LEFT TRIANGLE	◣
U+25E4	BLACK UPPER LEFT TRIANGLE	◤
U+25E5	BLACK UPPER RIGHT TRIANGLE	◥
U+25E6	WHITE BULLET	◦
U+25E7	SQUARE WITH LEFT HALF BLACK	◧
U+25E8	SQUARE WITH RIGHT HALF BLACK	◨
U+25E9	SQUARE WITH UPPER LEFT DIAGONAL HALF BLACK	◩
U+25EA	SQUARE WITH LOWER RIGHT DIAGONAL HALF BLACK	◪
U+25EB	WHITE SQUARE WITH VERTICAL BISECTING LINE	◫
U+25EC	WHITE UP-POINTING TRIANGLE WITH DOT	◬
U+25ED	UP-POINTING TRIANGLE WITH LEFT HALF BLACK	◭
U+25EE	UP-POINTING TRIANGLE WITH RIGHT HALF BLACK	◮
U+25EF	LARGE CIRCLE	◯
U+25F0	WHITE SQUARE WITH UPPER LEFT QUADRANT	◰
U+25F1	WHITE SQUARE WITH LOWER LEFT QUADRANT	◱
U+25F2	WHITE SQUARE WITH LOWER RIGHT QUADRANT	◲
U+25F3	WHITE SQUARE WITH UPPER RIGHT QUADRANT	◳
U+25F4	WHITE CIRCLE WITH UPPER LEFT QUADRANT	◴
U+25F5	WHITE CIRCLE WITH LOWER LEFT QUADRANT	◵
U+25F6	WHITE CIRCLE WITH LOWER RIGHT QUADRANT	◶
U+25F7	WHITE CIRCLE WITH UPPER RIGHT QUADRANT	◷
U+25F8	UPPER LEFT TRIANGLE	◸
U+25F9	UPPER RIGHT TRIANGLE	◹
U+25FA	LOWER LEFT TRIANGLE	◺
U+25FB	WHITE MEDIUM SQUARE	◻
U+25FC	BLACK MEDIUM SQUARE	◼
U+25FD	WHITE MEDIUM SMALL SQUARE	◽
U+25FE	BLACK MEDIUM SMALL SQUARE	◾
U+25FF	LOWER RIGHT TRIANGLE	◿
